Metric,Value
Total Production,168
Faulty Products,7
Faulty Rate,0.04
Station 1 Occupancy Rate,0.13277919324597764
Station 1 Wait Time,0.0
Station 1 Downtime,5.3106191270759195
Station 2 Occupancy Rate,0.1491622647400537
Station 2 Wait Time,0.0
Station 2 Downtime,0
Station 3 Occupancy Rate,0.1429261219321567
Station 3 Wait Time,0.0
Station 3 Downtime,11.637369289063956
Station 4 Occupancy Rate,0.14099471301468985
Station 4 Wait Time,0.0
Station 4 Downtime,16.0954109685584
Station 5 Occupancy Rate,0.1277671667865518
Station 5 Wait Time,0.0
Station 5 Downtime,11.479385802349883
Station 6 Occupancy Rate,0.13452710142427787
Station 6 Wait Time,0.0
Station 6 Downtime,0.9495389235146383
Production Time,24.31895147850602
Fixing Time,3.2480231507544866
Supplier Occupancy,0.013932275781892167
