Metric,Value
Total Production,165
Faulty Products,11
Faulty Rate,0.0625
Station 1 Occupancy Rate,0.14430234612358153
Station 1 Wait Time,0.0
Station 1 Downtime,0
Station 2 Occupancy Rate,0.14981813404120606
Station 2 Wait Time,0.0
Station 2 Downtime,0
Station 3 Occupancy Rate,0.13130691373374057
Station 3 Wait Time,0.0
Station 3 Downtime,4.016060018414633
Station 4 Occupancy Rate,0.1454560974590377
Station 4 Wait Time,0.0
Station 4 Downtime,3.211763901336619
Station 5 Occupancy Rate,0.13643711797056965
Station 5 Wait Time,0.0
Station 5 Downtime,18.377769812218965
Station 6 Occupancy Rate,0.13575598075671738
Station 6 Wait Time,0.0
Station 6 Downtime,3.75065386959121
Production Time,24.34274173268018
Fixing Time,2.9356247601561423
Supplier Occupancy,0.01257234505260849
