Metric,Value
Total Production,163
Faulty Products,11
Faulty Rate,0.06321839080459771
Station 1 Occupancy Rate,0.1408364612269529
Station 1 Wait Time,0.0
Station 1 Downtime,1.506727181465926
Station 2 Occupancy Rate,0.1413527014505387
Station 2 Wait Time,0.0
Station 2 Downtime,0
Station 3 Occupancy Rate,0.1389380052008467
Station 3 Wait Time,0.0
Station 3 Downtime,4.825455902014278
Station 4 Occupancy Rate,0.14454537001899656
Station 4 Wait Time,0.0
Station 4 Downtime,20.371690609959682
Station 5 Occupancy Rate,0.13796816826699237
Station 5 Wait Time,0.0
Station 5 Downtime,2.4799782344333723
Station 6 Occupancy Rate,0.13924182519183506
Station 6 Wait Time,0.0
Station 6 Downtime,0.7036877493639512
Production Time,24.720046779140496
Fixing Time,2.1348242626598
Supplier Occupancy,0.013621635195268005
